,4. close
2017-10-25,156.41
2017-10-26,157.41
2017-10-27,163.05
2017-10-30,166.72
2017-10-31,169.04
2017-11-01,166.89
2017-11-02,168.11
2017-11-03,172.5
2017-11-06,174.25
2017-11-07,174.81
2017-11-08,176.24
2017-11-09,175.88
2017-11-10,174.67
2017-11-13,173.97
2017-11-14,171.34
2017-11-15,169.08
2017-11-16,171.1
2017-11-17,170.15
2017-11-20,169.98
2017-11-21,173.14
2017-11-22,174.96
2017-11-24,174.97
2017-11-27,174.09
2017-11-28,173.07
2017-11-29,169.48
2017-11-30,171.85
2017-12-01,171.05
2017-12-04,169.8
2017-12-05,169.64
2017-12-06,169.01
2017-12-07,169.32
2017-12-08,169.37
2017-12-11,172.67
2017-12-12,171.7
2017-12-13,172.27
2017-12-14,172.22
2017-12-15,173.97
2017-12-18,176.42
2017-12-19,174.54
2017-12-20,174.35
2017-12-21,175.01
2017-12-22,175.01
2017-12-26,170.57
2017-12-27,170.6
2017-12-28,171.08
2017-12-29,169.23
2018-01-02,172.26
2018-01-03,172.23
2018-01-04,173.03
2018-01-05,175.0
2018-01-08,174.35
2018-01-09,174.33
2018-01-10,174.29
2018-01-11,175.28
2018-01-12,177.09
2018-01-16,176.19
2018-01-17,179.1
2018-01-18,179.26
2018-01-19,178.46
2018-01-22,177.0
2018-01-23,177.04
2018-01-24,174.22
2018-01-25,171.11
2018-01-26,171.51
2018-01-29,167.96
2018-01-30,166.97
2018-01-31,167.43
2018-02-01,167.78
2018-02-02,160.5
2018-02-05,156.49
2018-02-06,163.03
2018-02-07,159.54
2018-02-08,155.15
2018-02-09,156.41
2018-02-12,162.71
2018-02-13,164.34
2018-02-14,167.37
2018-02-15,172.99
2018-02-16,172.43
2018-02-20,171.85
2018-02-21,171.07
2018-02-22,172.5
2018-02-23,175.5
2018-02-26,178.97
2018-02-27,178.39
2018-02-28,178.12
2018-03-01,175.0
2018-03-02,176.21
2018-03-05,176.82
2018-03-06,176.67
2018-03-07,175.03
2018-03-08,176.94
2018-03-09,179.98
2018-03-12,181.72
2018-03-13,179.97
2018-03-14,178.44
2018-03-15,178.65
2018-03-16,178.02
2018-03-19,175.3
2018-03-20,175.24
2018-03-21,171.27
2018-03-22,168.85
2018-03-23,164.94
2018-03-26,172.77
2018-03-27,168.34
2018-03-28,166.48
2018-03-29,167.78
2018-04-02,166.68
2018-04-03,168.39
2018-04-04,171.61
2018-04-05,172.8
2018-04-06,168.38
2018-04-09,170.05
2018-04-10,173.25
2018-04-11,172.44
2018-04-12,174.14
2018-04-13,174.73
2018-04-16,175.82
2018-04-17,178.24
2018-04-18,177.84
2018-04-19,172.8
2018-04-20,165.72
2018-04-23,165.24
2018-04-24,162.94
2018-04-25,163.65
2018-04-26,164.22
2018-04-27,162.32
2018-04-30,165.26
2018-05-01,169.1
2018-05-02,176.57
2018-05-03,176.89
2018-05-04,183.83
2018-05-07,185.16
2018-05-08,186.05
2018-05-09,187.36
2018-05-10,190.04
2018-05-11,188.59
2018-05-14,188.15
2018-05-15,186.44
2018-05-16,188.18
2018-05-17,186.99
2018-05-18,186.31
2018-05-21,187.63
2018-05-22,187.16
2018-05-23,188.36
2018-05-24,188.15
2018-05-25,188.58
2018-05-29,187.9
2018-05-30,187.5
2018-05-31,186.87
2018-06-01,190.24
2018-06-04,191.83
2018-06-05,193.31
2018-06-06,193.98
2018-06-07,193.46
2018-06-08,191.7
2018-06-11,191.23
2018-06-12,192.28
2018-06-13,190.7
2018-06-14,190.8
2018-06-15,188.84
2018-06-18,188.74
2018-06-19,185.69
2018-06-20,186.5
2018-06-21,185.46
2018-06-22,184.92
2018-06-25,182.17
2018-06-26,184.43
2018-06-27,184.16
2018-06-28,185.5
2018-06-29,185.11
2018-07-02,187.18
2018-07-03,183.92
2018-07-05,185.4
2018-07-06,187.97
2018-07-09,190.58
2018-07-10,190.35
2018-07-11,187.88
2018-07-12,191.03
2018-07-13,191.33
2018-07-16,190.91
2018-07-17,191.45
2018-07-18,190.4
2018-07-19,191.88
2018-07-20,191.44
2018-07-23,191.61
2018-07-24,193.0
2018-07-25,194.82
2018-07-26,194.21
2018-07-27,190.98
2018-07-30,189.91
2018-07-31,190.29
2018-08-01,201.5
2018-08-02,207.39
2018-08-03,207.99
2018-08-06,209.07
2018-08-07,207.11
2018-08-08,207.25
2018-08-09,208.88
2018-08-10,207.53
2018-08-13,208.87
2018-08-14,209.75
2018-08-15,210.24
2018-08-16,213.32
2018-08-17,217.58
2018-08-20,215.46
2018-08-21,215.04
2018-08-22,215.05
2018-08-23,215.49
2018-08-24,216.16
2018-08-27,217.94
2018-08-28,219.7
2018-08-29,222.98
2018-08-30,225.03
2018-08-31,227.63
2018-09-04,228.36
2018-09-05,226.87
2018-09-06,223.1
2018-09-07,221.3
2018-09-10,218.33
2018-09-11,223.85
2018-09-12,221.07
2018-09-13,226.41
2018-09-14,223.84
2018-09-17,217.88
2018-09-18,218.24
2018-09-19,218.37
2018-09-20,220.03
2018-09-21,217.66
2018-09-24,220.79
2018-09-25,222.19
2018-09-26,220.42
2018-09-27,224.95
2018-09-28,225.74
2018-10-01,227.26
2018-10-02,229.28
2018-10-03,232.07
2018-10-04,227.99
2018-10-05,224.29
2018-10-08,223.77
2018-10-09,226.87
2018-10-10,216.36
2018-10-11,214.45
2018-10-12,222.11
2018-10-15,217.36
2018-10-16,222.15
2018-10-17,221.19
